id,NameEn,NameKr,GenKr,GenName
1,NaCl K Injection,엔에이시엘케이주,염화나트륨,sodium chloride
2,Dextrose Na K Injection,포도당가엔에이케이주,포도당,glucose
3,Dextrose Kit Injection,포도당키트주사,포도당,glucose
4,HTP Capsule,에이치티피캅셀,5-히드록시트립토판,5-hydroxytryptophan
5,D-Base Injection,D베이스주,콜레칼시페롤,cholecalciferol
6,Ganalil Tablet,가나릴정,이토프리드염산염,itopride
7,Ganamoti SR Tablet mg,가나모티에스알정밀리그램,모사프리드시트르산염수화물,mosapride citrate hydrate
8,Ganamoti Tablet,가나모티정,모사프리드시트르산염수화물,mosapride citrate hydrate
9,Ganamotin SR Tablet mg,가나모틴에스알정밀리그램,모사프리드시트르산염수화물,mosapride citrate hydrate
10,Ganason Capsule,가나슨캡슐,비페닐디메틸디카르복실레이트,biphenyldimethyl dicarboxylate
11,Ganazen Tablet,가나젠정,이토프리드염산염,itopride
12,Ganatec Tablet,가나텍정,이토프리드염산염,itopride
13,Ganaton Tablet mg,가나톤정밀리그램,이토프리드염산염,itopride
14,Ganaprid Tablet,가나프리드정,이토프리드염산염,itopride
15,Ganaflux Tablet mg,가나플럭스정밀리그램,오메프라졸,omeprazole
16,Ganeduo Capsule,가네듀오캡슐,비페닐디메틸디카르복실레이트혼합물,biphenyldimethyl dicarboxylate mixture
17,Ganewtin Capsule mg,가뉴틴캡슐밀리그램,가바펜틴,gabapentin
18,Gadoba Pre-filled Syringe,가도바주프리필드시린지,가도부트롤수화물,gadobutrol hydrate
19,Gadobrix Injection,가도브릭스주,가도부트롤수화물,gadobutrol hydrate
20,Gadovist Injection Vial,가도비스트주사바이알,가도부트롤,gadobutrol
21,Gadue Tablet mg,가두에정밀리그램,아토르바스타틴칼슘,atorvastatin calcium
22,Gabet Tablet mg,가베트정밀리그램,아나글립틴,anagliptin
23,Garotin Capsule mg,가로틴캡슐밀리그램,가바펜틴,gabapentin
24,Garion Tablet mg,가리온정밀리그램,베포타스틴베실산염,bepotastine besilate
25,Gameriton Tablet mg,가메리톤정밀리그램,이토프리드염산염,itopride
26,Gamod SR Tablet mg,가모드서방정밀리그램,모사프리드시트르산염수화물,mosapride citrate hydrate
27,Gamod Tablet,가모드정,모사프리드시트르산염수화물,mosapride citrate hydrate
28,Gamosad Tablet,가모사드정,모사프리드시트르산염수화물,mosapride citrate hydrate
29,Gamosid SR Tablet mg,가모시드에스알정밀리그램,모사프리드시트르산염수화물,mosapride citrate hydrate
30,Gamosid Tablet mg,가모시드정밀리그램,모사프리드시트르산염수화물,mosapride citrate hydrate
31,Gamotec SR Tablet mg,가모텍에스알서방정밀리그램,모사프리드시트르산염수화물,mosapride citrate hydrate
32,Gamotin SR Tablet mg,가모틴에스알정밀리그램,모사프리드시트르산염수화물,mosapride citrate hydrate
33,Gamotin Tablet,가모틴정,모사프리드시트르산염수화물,mosapride citrate hydrate
34,Gamopri Tablet,가모프리정,모사프리드시트르산염수화물,mosapride citrate hydrate
35,Gamopid SR Tablet mg,가모피드서방정밀리그램,모사프리드시트르산염수화물,mosapride citrate hydrate
36,Gabanewro SR Tablet mg,가바뉴로서방정밀리그램,프레가발린,pregabalin
37,Gabanewro Capsule mg,가바뉴로캡슐밀리그램,프레가발린,pregabalin
38,Gabalap Capsule,가바랩캡슐,가바펜틴,gabapentin
39,Gabalex Tablet mg,가바렉스정밀리그램,가바펜틴,gabapentin
40,Gabalex Capsule,가바렉스캡슐,가바펜틴,gabapentin
41,Gabalep Tablet,가바렙정,가바펜틴,gabapentin
42,Gabalin Capsule,가바린캡슐,가바펜틴,gabapentin
43,Gabalontin Capsule mg,가바론틴캡슐밀리그램,가바펜틴,gabapentin
44,Gabarica Capsule mg,가바리카캡슐밀리그램,프레가발린,pregabalin
45,Gabamed Capsule mg,가바메드캡슐밀리그램,프레가발린,pregabalin
46,Gabastan Capsule,가바스탄캡슐,가바펜틴,gabapentin
47,Gabastil Capsule,가바스틸캡슐,가바펜틴,gabapentin
48,Gabawon Capsule mg,가바원캡슐밀리그램,가바펜틴,gabapentin
49,Gabaten Capsule mg,가바텐캡슐밀리그램,가바펜틴,gabapentin
50,Gabaking Capsule,가바킹캡슐,가바펜틴,gabapentin
51,Gabatex Capsule Milligram,가바텍스캡슐밀리그램,가바펜틴,gabapentin
52,Gabatu Capsule Milligram,가바투캡슐밀리그램,가바펜틴,gabapentin
53,Gabatin Tablet Milligram,가바틴정밀리그램,가바펜틴,gabapentin
54,Gabapenin Tablet,가바페닌정,가바펜틴,gabapentin
55,Gabapenin Tablet Milligram,가바페닌정밀리그램,가바펜틴,gabapentin
56,Gabapenin Capsule Milligram,가바페닌캡슐밀리그램,가바펜틴,gabapentin
57,Gabape Capsule Milligram,가바페캡슐밀리그램,가바펜틴,gabapentin
58,Gabapenda Capsule Milligram,가바펜다캡슐밀리그램,가바펜틴,gabapentin
59,Gabapro Capsule Milligram,가바프로캡슐밀리그램,가바펜틴,gabapentin
60,Gabes Capsule,가베스캡슐,클레보프리드말산염,clebopride
61,Gabetin Capsule Milligram,가베틴캡슐밀리그램,가바펜틴,gabapentin
62,Gabentin Capsule Milligram,가벤틴캡슐밀리그램,가바펜틴,gabapentin
63,Gabentin Capsule,가벤틴캡슐,가바펜틴,gabapentin
64,Gabelin Tablet Milligram,가벨린정밀리그램,프레가발린,pregabalin
65,Gabelin Capsule Milligram,가벨린캡슐밀리그램,프레가발린,pregabalin
66,Gabvilda Tablet Milligram,가브빌다정밀리그램,빌다글립틴,vildagliptin
67,Gabusmet Tablet Milligram,가브스메트정밀리그램,빌다글립틴,vildagliptin
68,Gablimet Tablet,가블리메트정,빌다글립틴,vildagliptin
69,Gabli Tablet,가블리정,빌다글립틴,vildagliptin
70,Gabistar Capsule Milligram,가비스타캡슐밀리그램,가바펜틴,gabapentin
71,Gasoradin Tablet,가소라딘정,이르소글라딘말레산염,irsogladine
72,Gasdin Tablet Milligram,가스딘정밀리그램,이르소글라딘말레산염,irsogladine
73,Gasru Tablet,가스루정,이르소글라딘말레산염,irsogladine
74,Gasran Tablet,가스란정,이르소글라딘말레산염,irsogladine
75,Gasron N Orally Disintegrating Tablet Milligram,가스론엔구강붕해정밀리그램,이르소글라딘말레산염,irsogladine
76,Gasmotin SR Tablet,가스모틴에스알정,모사프리드시트르산염수화물,mosapride
77,Gasmof Tablet,가스모프정,모사프리드시트르산염이수화물,mosapride
78,Gasjal Tablet,가스잘정,모사프리드시트르산염수화물,mosapride
79,Geumo Medical Oxygen,금오의료용산소,질소,nitrogen
80,Gastan Tablet,가스탄정,모사프리드시트르산염수화물,mosapride
81,Gaster Injection Milligram,가스터주사액밀리그램,파모티딘,famotidine
82,Gastrex Granule,가스트렉스과립,에카베트나트륨수화물,ecabet
83,Gastrografin,가스트로그라핀,아미도트리조산,diatrizoate
84,Gastron Tablet,가스트론정,이토프리드염산염,itopride
85,Gastric SR Tablet,가스트릭서방정,록사티딘아세테이트염산염,roxatidine
86,Gastric SR Tablet Milligram,가스트릭서방정밀리그램,록사티딘아세테이트염산염,roxatidine
87,Gastidin Tablet,가스티딘정,라니티딘염산염,ranitidine
88,Gastiyne CR Tablet,가스티인씨알정,모사프리드시트르산염수화물,mosapride
89,Gastiyne Tablet,가스티인정,모사프리드시트르산염수화물,mosapride
90,Gastizen SR Tablet Milligram,가스티젠에스알정밀리그램,모사프리드시트르산염수화물,mosapride
91,Gasfren CR Tablet Milligram,가스프렌씨알정밀리그램,모사프리드시트르산염수화물,mosapride
92,Gaspiran SR Tablet Milligram,가스피란에스알정밀리그램,모사프리드시트르산염수화물,mosapride
93,Gaobric Tablet,가오브릭정,페북소스타트,febuxostat
94,Gatojen Tablet,가토젠정,이토프리드염산염,itopride
95,Gatoprid Tablet,가토프리드정,이토프리드염산염,itopride
96,Gatidin Tablet Milligram,가티딘정밀리그램,파모티딘,famotidine
